KKN23032,001,3
KKN23032,002,2
KKN23032,003,1
KKN23032,004,3
KKN23032,005,
KKN23032,006,3
KKN23032,007,2
KKN23032,008,1
KKN23032,009,
KKN23032,010,1
KKN23032,011,
KKN23033,001,3
KKN23033,002,2
KKN23033,003,1
KKN23033,004,3
KKN23033,005,
KKN23033,006,3
KKN23033,007,2
KKN23033,008,1
KKN23033,009,
KKN23033,010,1
KKN23033,011,
KKN23034,001,3
KKN23034,002,2
KKN23034,003,1
KKN23034,004,3
KKN23034,005,
KKN23034,006,3
KKN23034,007,2
KKN23034,008,1
KKN23034,009,
KKN23034,010,1
KKN23034,011,
KKN23035,001,3
KKN23035,002,2
KKN23035,003,1
KKN23035,004,3
KKN23035,005,
KKN23035,006,3
KKN23035,007,2
KKN23035,008,1
KKN23035,009,
KKN23035,010,1
KKN23035,011,
KKN23036,001,3
KKN23036,002,2
KKN23036,003,1
KKN23036,004,3
KKN23036,005,
KKN23036,006,3
KKN23036,007,2
KKN23036,008,1
KKN23036,009,
KKN23036,010,1
KKN23036,011,
KKN23037,001,3
KKN23037,002,2
KKN23037,003,1
KKN23037,004,3
KKN23037,005,
KKN23037,006,3
KKN23037,007,1
KKN23037,008,1
KKN23037,009,1
KKN23037,010,
KKN23037,011,1
KKN23038,001,3
KKN23038,002,2
KKN23038,003,1
KKN23038,004,3
KKN23038,005,
KKN23038,006,3
KKN23038,007,1
KKN23038,008,1
KKN23038,009,1
KKN23038,010,
KKN23038,011,1
KKN23039,001,3
KKN23039,002,2
KKN23039,003,1
KKN23039,004,3
KKN23039,005,
KKN23039,006,3
KKN23039,007,1
KKN23039,008,1
KKN23039,009,1
KKN23039,010,
KKN23039,011,1
KKN23040,001,3
KKN23040,002,2
KKN23040,003,1
KKN23040,004,3
KKN23040,005,
KKN23040,006,3
KKN23040,007,1
KKN23040,008,1
KKN23040,009,1
KKN23040,010,
KKN23040,011,1
